LOT_NO,record_count,start_time,end_time,duration_minutes,avg_interval_seconds,건조_1존_OP_mean,건조_1존_OP_std,건조_1존_OP_min,건조_1존_OP_max,건조_1존_OP_range,건조_1존_OP_cv,건조_1존_OP_trend,건조_2존_OP_mean,건조_2존_OP_std,건조_2존_OP_min,건조_2존_OP_max,건조_2존_OP_range,건조_2존_OP_cv,건조_2존_OP_trend,건조로_온도_1_Zone_mean,건조로_온도_1_Zone_std,건조로_온도_1_Zone_min,건조로_온도_1_Zone_max,건조로_온도_1_Zone_range,건조로_온도_1_Zone_cv,건조로_온도_1_Zone_trend,건조로_온도_2_Zone_mean,건조로_온도_2_Zone_std,건조로_온도_2_Zone_min,건조로_온도_2_Zone_max,건조로_온도_2_Zone_range,건조로_온도_2_Zone_cv,건조로_온도_2_Zone_trend,세정기_mean,세정기_std,세정기_min,세정기_max,세정기_range,세정기_cv,세정기_trend,소입1존_OP_mean,소입1존_OP_std,소입1존_OP_min,소입1존_OP_max,소입1존_OP_range,소입1존_OP_cv,소입1존_OP_trend,소입2존_OP_mean,소입2존_OP_std,소입2존_OP_min,소입2존_OP_max,소입2존_OP_range,소입2존_OP_cv,소입2존_OP_trend,소입3존_OP_mean,소입3존_OP_std,소입3존_OP_min,소입3존_OP_max,소입3존_OP_range,소입3존_OP_cv,소입3존_OP_trend,소입4존_OP_mean,소입4존_OP_std,소입4존_OP_min,소입4존_OP_max,소입4존_OP_range,소입4존_OP_cv,소입4존_OP_trend,소입로_CP_값_mean,소입로_CP_값_std,소입로_CP_값_min,소입로_CP_값_max,소입로_CP_값_range,소입로_CP_값_cv,소입로_CP_값_trend,소입로_온도_1_Zone_mean,소입로_온도_1_Zone_std,소입로_온도_1_Zone_min,소입로_온도_1_Zone_max,소입로_온도_1_Zone_range,소입로_온도_1_Zone_cv,소입로_온도_1_Zone_trend,소입로_온도_2_Zone_mean,소입로_온도_2_Zone_std,소입로_온도_2_Zone_min,소입로_온도_2_Zone_max,소입로_온도_2_Zone_range,소입로_온도_2_Zone_cv,소입로_온도_2_Zone_trend,소입로_온도_3_Zone_mean,소입로_온도_3_Zone_std,소입로_온도_3_Zone_min,소입로_온도_3_Zone_max,소입로_온도_3_Zone_range,소입로_온도_3_Zone_cv,소입로_온도_3_Zone_trend,소입로_온도_4_Zone_mean,소입로_온도_4_Zone_std,소입로_온도_4_Zone_min,소입로_온도_4_Zone_max,소입로_온도_4_Zone_range,소입로_온도_4_Zone_cv,소입로_온도_4_Zone_trend,솔트_컨베이어_온도_1_Zone_mean,솔트_컨베이어_온도_1_Zone_std,솔트_컨베이어_온도_1_Zone_min,솔트_컨베이어_온도_1_Zone_max,솔트_컨베이어_온도_1_Zone_range,솔트_컨베이어_온도_1_Zone_cv,솔트_컨베이어_온도_1_Zone_trend,솔트_컨베이어_온도_2_Zone_mean,솔트_컨베이어_온도_2_Zone_std,솔트_컨베이어_온도_2_Zone_min,솔트_컨베이어_온도_2_Zone_max,솔트_컨베이어_온도_2_Zone_range,솔트_컨베이어_온도_2_Zone_cv,솔트_컨베이어_온도_2_Zone_trend,솔트조_온도_1_Zone_mean,솔트조_온도_1_Zone_std,솔트조_온도_1_Zone_min,솔트조_온도_1_Zone_max,솔트조_온도_1_Zone_range,솔트조_온도_1_Zone_cv,솔트조_온도_1_Zone_trend,솔트조_온도_2_Zone_mean,솔트조_온도_2_Zone_std,솔트조_온도_2_Zone_min,솔트조_온도_2_Zone_max,솔트조_온도_2_Zone_range,솔트조_온도_2_Zone_cv,솔트조_온도_2_Zone_trend,건조_OP_mean_diff,소입_OP_front_back_diff,소입_OP_inner_diff,건조_온도_mean_diff,소입로_온도_1_4_mean_diff,소입로_온도_gradient_mean,솔트컨베이어_온도_mean_diff,솔트조_온도_mean_diff,작업일,작업일_최신,양품수량,불량수량,총수량,불량률
HYM30,7342,2022-01-03T11:22:00,2022-01-03T13:27:00,125.0,1.021659174499387,72.25272719286288,3.6962855282296534,55.8907,83.4128,27.522100000000002,0.05115773025927764,-0.0003827890216921503,21.354464056115514,4.348631826959113,7.84754,35.2677,27.420159999999996,0.20364041052642326,-0.0011135528189542125,99.94345982288809,0.5939309541221482,97.8385,101.755,3.916499999999999,0.005942669537102936,2.5690166488874586e-06,100.0618955109002,0.4834848349826166,98.4388,101.247,2.8081999999999994,0.004831857646849678,-1.9430497179818574e-05,69.60255960909966,0.8453480256019341,68.2865,71.3073,3.020799999999994,0.012145358307935209,-9.699825017425651e-05,75.71217542943405,22.978130144988164,0.0397239,100.0,99.9602761,0.30349319663129276,0.0013215281988326342,59.332558539907325,1.783759133064529,52.8176,65.0583,12.240700000000004,0.030063748757181357,2.0190363358951735e-06,50.68092951511853,1.4399000882870747,45.4223,56.5739,11.151600000000002,0.028411082868113953,0.00013539551600849116,70.24943969626791,2.504034964537724,61.4719,80.3567,18.884800000000006,0.035644910128311724,-0.00014894498123756814,0.450505000885317,0.0058962792609461205,0.430979,0.505652,0.07467299999999999,0.013088154958011465,4.656482569749954e-07,859.4869017163896,3.5738013477504866,847.607,870.536,22.928999999999974,0.004158063771086714,-3.070266368681268e-05,860.0123646826441,0.4006285887781931,858.883,861.258,2.375,0.0004658404986142615,1.9661999103305065e-06,860.009751941156,0.28162251908967906,859.352,860.889,1.5370000000000346,0.00032746433218230344,-2.152429002344463e-05,860.010592085536,0.5534249799157053,858.474,862.014,3.5399999999999636,0.0006435094928001328,8.941180389379533e-06,282.58130302411263,9.371106437325473,268.773,295.967,27.19399999999996,0.033162514069537845,-0.0008684170384777215,280.14901246424,6.03386061516672,270.227,288.406,18.17900000000003,0.02153803992415258,9.959207407874225e-05,329.0159401988792,0.12273824862149764,328.659,329.293,0.6340000000000146,0.00037304651120339773,3.314624453093962e-05,329.0704664895795,0.11651820314060816,328.805,329.3,0.49500000000000455,0.0003540828333322884,3.6922812236138926e-05,50.89826313674736,5.4627357331661415,8.651629024788797,-0.1184356880121129,-0.5236903691463795,-0.5254629662545085,2.4322905598726265,-0.0545262907002666,2022-01-03,2022-01-03,15160.0,3.0,15163.0,0.00019785002967750444
HZA01,40281,2022-01-03T22:35:00,2022-01-05T06:20:00,1905.0,2.8376365441906652,71.2205369615949,3.352891491039851,53.91,82.5948,28.68480000000001,0.047077593543669444,-1.7107988889632582e-05,20.149477968148837,2.888794126191877,5.02241,30.0809,25.05849,0.14336818704476217,2.3316984794212366e-05,99.99289736214702,0.4872484897354192,97.7743,101.999,4.224699999999999,0.004872830996893089,1.1725735950253397e-07,100.03597019343093,0.34803414918906966,98.5116,101.501,2.9894000000000034,0.003479090056467749,-6.278974774183928e-07,69.54986162210348,1.0872648562048841,67.3211,71.4901,4.168999999999997,0.015632883097776617,-1.059008256906709e-06,72.0702988447658,23.716552753782803,0.0111477,100.0,99.9888523,0.3290752658715422,-4.941174128717591e-05,50.24667323303874,6.588750877589706,36.0278,66.0408,30.013000000000005,0.1311281016960422,-0.0001383292771169132,49.50164949852288,2.281049827930713,41.2264,58.4286,17.202200000000005,0.04608027916319797,-3.8965978701303117e-05,68.28871745487938,2.7243538895316077,58.482,81.8909,23.408900000000003,0.03989464132682941,-3.661419911302794e-05,0.4496234205084264,0.005085827147152286,0.404613,0.473188,0.068575,0.011311303893825906,-1.1201761476489348e-08,859.5403350256698,2.8953062272983363,850.017,871.084,21.066999999999894,0.0033684355571421427,2.8125803808722605e-06,859.9947368296744,0.39094287812965045,858.688,861.795,3.106999999999971,0.0004545875240711832,-2.9109347847440374e-07,859.9939243421059,0.24166332252857342,859.099,861.064,1.9649999999999181,0.0002810058486325302,3.156764823598763e-08,860.002296157014,0.43994327879770745,858.161,861.865,3.7040000000000646,0.0005115605862491619,1.8545699595178276e-07,283.15165695134476,9.624364068827113,268.714,297.002,28.28800000000001,0.03399013861494341,4.110198415140852e-06,279.4619384821625,6.836326566833179,268.493,290.651,22.158000000000015,0.024462460269055665,-5.471433016885751e-06,329.08897327458567,0.13065263917809636,328.703,329.443,0.7400000000000091,0.0003970131173890237,1.3329188137534347e-06,329.07453242302785,0.15071451629833293,328.689,329.383,0.69399999999996,0.0004579950784662614,2.3234541606065243e-06,51.071058993446066,3.7815813898864263,0.7450237345158612,-0.04307283128390793,-0.4619611313441965,-0.454401804004533,3.689718469182253,0.014440851557822043,2022-01-03,2022-01-04,89508.0,40.0,89548.0,0.0004466878098896681
HZA02,37947,2022-01-05T14:32:00,2022-01-07T00:16:00,2024.0,3.200337321456807,72.4816483965942,2.9423471543221678,52.9816,84.5765,31.594899999999996,0.04059437415416761,-2.2304795858893969e-07,22.187094116472363,2.645328751503091,7.21693,30.5996,23.382669999999997,0.11922826565823777,-7.843354080552504e-06,100.00152368578577,0.402812996980416,97.7285,102.076,4.347499999999997,0.004028068594695541,-2.422058178365625e-07,100.01525181534662,0.2991239325137916,98.181,101.408,3.227000000000004,0.002990783176410432,3.272847566774001e-07,69.50157926999569,1.0557225232309138,67.1142,71.3535,4.2393,0.01518990696786478,-2.8253998643650234e-06,76.90731250934894,17.077867842160725,0.00107683,100.0,99.99892317,0.22205778988941682,-3.0025293885526088e-05,45.890325269308065,1.6010766310068594,39.7968,52.6739,12.877100000000006,0.034889197703675386,-8.51832089335956e-06,50.51963750830854,1.3484122950970223,42.9381,58.1191,15.181000000000004,0.02669085451920078,-3.397068627356152e-06,69.49614273855614,1.9689340757986016,61.0586,81.6436,20.585000000000008,0.028331559108333734,3.3112891420296455e-06,0.4497909134992505,0.0038126802029085447,0.38364,0.4736305,0.08999050000000003,0.008476561194282325,5.651588724603014e-10,859.8487962314967,2.051958885994717,849.637,872.031,22.394000000000005,0.002386418280734871,-2.593112522263959e-07,859.9891162704681,0.2556600959417676,859.21,860.924,1.7139999999999418,0.00029728294359176755,-3.9086500622484547e-07,860.0014158764285,0.2156720091514409,859.286,861.067,1.7810000000000628,0.00025078099311226054,2.6892638600126344e-07,860.0040905788633,0.35649574572932397,858.397,862.106,3.7089999999999463,0.0004145279651976643,4.921857837084316e-08,282.99692971512695,9.533493835377012,266.23,296.633,30.402999999999963,0.03368762284797121,7.54019777792621e-06,278.96308852945015,6.391205850210943,268.751,290.161,21.410000000000025,0.022910578900965324,-1.663177474748268e-05,329.0701738483018,0.10000434770052598,328.687,329.38,0.6929999999999836,0.0003038997625674426,-7.112227798562145e-07,329.0798122853216,0.09844571502807936,328.623,329.32,0.6970000000000027,0.000299154525294077,1.5025964655957028e-07,50.29455428012183,7.411169770792796,-4.629312239000477,-0.013728129560846014,-0.15529434736652092,-0.14032003897136747,4.033841185676806,-0.009638437019816593,2022-01-05,2022-01-06,89709.0,15.0,89724.0,0.00016717935000668717
HZA05,38267,2022-01-07T04:07:00,2022-01-08T08:20:00,1693.0,2.6545758636910053,73.02240064023817,3.007521742473368,54.2464,84.5911,30.344699999999996,0.041186289633103446,3.2440439770006585e-06,22.695069280842507,2.7083806290759154,7.82578,31.7228,23.897019999999998,0.11933784363293966,-2.7337551674056785e-06,100.01738000156494,0.3716949825370159,98.4748,102.02,3.545199999999994,0.003716303931688673,6.60176634773254e-07,100.03051348977964,0.28038547235281586,98.6209,101.562,2.9410999999999916,0.002802999430583384,6.636971239203012e-07,69.45619477617645,0.9969025768515536,66.8199,71.339,4.519099999999995,0.014352968515826212,7.609573244081837e-06,71.0613637346728,21.999905264811378,0.0437229,100.0,99.9562771,0.3095902486047706,-0.00014006520061939933,45.24949878441799,2.59534335495427,35.5188,52.1113,16.5925,0.05735628956509009,-1.0291005413285594e-05,49.09669379491477,2.439211563918762,36.7125,55.6702,18.957700000000003,0.04968178863749488,-3.2967995237614595e-05,68.99709806709035,2.2054027010368045,56.2824,82.736,26.4536,0.031963702283425724,5.7607610176080234e-06,0.41391142124546004,0.09699706414865629,0.0969111,0.470967,0.3740559,0.23434256502705816,-1.3915423202094837e-06,859.680759662391,2.2530855740118967,852.565,871.31,18.74499999999989,0.0026208398276782604,1.122114562678564e-05,860.0167392787228,0.37401546673336705,858.798,861.624,2.826000000000022,0.00043489324062116004,7.11966147223066e-07,860.0140927610117,0.26609292368059156,859.158,861.136,1.9779999999999518,0.0003094053061692511,6.783767657078989e-07,859.9953996890417,0.3896250153077231,858.272,861.878,3.6059999999999945,0.00045305476686108347,9.982798597319175e-08,282.54002416045796,9.397056151762696,268.197,295.638,27.440999999999974,0.033259203469261374,2.5441442134378043e-06,278.903826943678,6.501976400609053,267.842,289.91,22.06800000000004,0.02331261091631441,-4.354347928474416e-06,328.9289307312428,0.19806500232794208,328.161,329.273,1.1120000000000232,0.0006021513580080147,-2.0801955890019393e-06,329.0805766456752,0.24523325701402635,328.073,329.387,1.3140000000000214,0.0007452073273776708,-2.6976049388412347e-06,50.32733135939567,2.064265667582447,-3.847195010496783,-0.013133488214691624,-0.31464002665074986,-0.33597961633176965,3.6361972167799763,-0.15164591443237896,2022-01-06,2022-01-07,89585.0,3.0,89588.0,3.348662767334911e-05
HZA06,46836,2022-01-10T11:17:00,2022-01-11T00:50:00,813.0,1.041528771218106,72.60030929997527,2.7523755733254087,54.1459,83.3156,29.169700000000006,0.03791134775959345,-1.68804119710705e-05,21.032861511405375,2.5397641544218064,5.2626,28.788,23.5254,0.12075219308816265,-3.847914984464492e-05,99.99792436103114,0.3837085975579254,97.8595,101.969,4.109499999999997,0.003837165621284189,3.165423431912834e-07,100.01539191647433,0.26471982954403805,98.7373,101.408,2.6706999999999965,0.002646790903595249,-1.0672491036720434e-06,66.08204015820816,1.4435752802762116,60.6244,67.7261,7.101700000000001,0.021845198435461784,8.449025262695276e-05,75.90349271319496,21.7998097696734,0.00275186,100.0,99.99724814,0.28720430365497196,-5.3353366516012976e-05,46.97312127229219,2.063957731754487,35.9668,54.7623,18.795500000000004,0.04393912254180869,-4.477261677054469e-07,50.04272749066391,1.6407490223907553,42.2333,58.6403,16.407000000000004,0.032786962355256466,-1.3042705982955704e-05,70.70960628077535,1.7803905522683872,61.8363,82.4366,20.600299999999997,0.02517890631718088,1.088382001719034e-06,0.4532104710387966,0.02967415480985778,0.418617,0.909111,0.490494,0.06547543957191042,5.967313931188654e-08,859.2456395650074,2.491807644773576,850.381,871.001,20.620000000000005,0.002899994518488394,-9.9851355710388e-06,860.0023798040146,0.3835301244614184,858.075,861.385,3.3099999999999454,0.00044596402692376365,9.265476834872755e-07,860.0039104266782,0.2694187951197718,858.608,860.852,2.244000000000028,0.00031327624427440526,-3.4292327016217495e-07,860.0027858849721,0.31405347993812566,858.347,861.77,3.423000000000002,0.00036517728208863175,-5.7275263683193114e-08,283.03358167150355,9.325971621004413,268.663,296.396,27.733000000000004,0.03295005336797239,-8.707165756171023e-06,279.2988240364515,6.378200066255828,268.617,289.893,21.275999999999954,0.022836473043736857,-5.3675564211048325e-06,329.1465975353755,0.13108428533446065,328.704,329.659,0.9549999999999841,0.0003982550216712241,1.5649147985445381e-06,329.4706270951242,0.12220885771185493,329.083,329.844,0.7609999999999673,0.0003709248948513125,9.4218214433652e-07,51.56744778856989,5.1938864324196174,-3.0696062183717174,-0.017467555443190008,-0.7571463199647042,-0.756740239007172,3.7347576350520626,-0.32402955974868064,2022-01-10,2022-01-10,104740.0,21.0,104761.0,0.00020045627666784394
HZA07,35348,2022-01-12T13:09:00,2022-01-12T23:21:00,612.0,1.0388434662064674,73.6123809522466,2.399012720423026,56.5424,83.3167,26.774299999999997,0.03258979928905302,-2.5691657842279187e-05,21.973322247651964,1.9330869711003964,8.74096,28.5884,19.84744,0.08797426940329714,3.5783362639776226e-06,100.00030130276218,0.32589008933962693,98.3049,102.034,3.7291000000000025,0.0032588910742674462,2.33702344637513e-07,99.99831805951987,0.21660033789502625,98.7725,101.333,2.5605000000000047,0.00216603981045065,8.889216434736514e-07,65.76444113669919,0.3586465181189834,64.3598,66.5871,2.2272999999999996,0.005453502104176542,-2.2519408219393843e-06,76.14557810089303,19.4610131716817,0.0226245,100.0,99.9773755,0.25557640584061,-0.00016252623706735088,44.96796234581903,1.9087529782019474,36.1126,53.0745,16.9619,0.042446952866642775,-8.227024529626817e-05,49.99604772547214,1.2976200883556577,43.3147,56.1587,12.844000000000001,0.02595445334961032,7.810023021152547e-06,70.76672436771509,1.6999089375012433,63.9052,81.7363,17.8311,0.02402130312925391,-2.4742689610119336e-05,0.4505985105380778,0.007301389891474441,0.4337975,0.60676,0.17296249999999996,0.01620375949036218,-7.261150245886206e-08,859.550570175688,2.044861776723301,851.431,870.49,19.05899999999997,0.0023789894948302356,1.3799338482010342e-05,860.0032914049838,0.3120908317873163,858.927,861.185,2.2579999999999245,0.0003628949271548191,9.655268617016802e-07,859.9945567783336,0.19007564179891184,859.19,860.689,1.49899999999991,0.0002210195870436241,-6.087759873814422e-07,859.994297928927,0.31035581557922864,858.145,861.688,3.5430000000000064,0.00036088124808110944,1.6562969794310337e-07,282.4268881517536,9.246958807522764,268.469,295.81,27.341000000000008,0.03274107103624705,3.177455531120472e-05,279.09105200023134,6.29133890133104,268.71,289.475,20.765000000000043,0.022542245106897316,1.3965202212942831e-05,329.16269993492915,0.11652631693733739,328.775,329.6,0.8250000000000455,0.00035400826691594464,-1.0861362415337582e-06,329.6113741618674,0.07923387221039976,329.39,329.919,0.5289999999999964,0.0002403857342965633,1.3084616683437462e-06,51.63905870459463,5.378853733177948,-5.028085379653106,0.0019832432423072532,-0.44372775323904534,-0.45272122929577563,3.335836151522244,-0.44867422693823755,2022-01-12,2022-01-12,89759.0,8.0,89767.0,8.91196096561097e-05
HZA08,4334,2022-01-14T13:32:00,2022-01-14T14:47:00,75.0,1.0385414262635588,73.2031819566221,4.611577725863813,55.3443,84.3275,28.983200000000004,0.06299695727156353,-0.0004144268883188577,23.65939742501157,4.5355221518932645,8.41146,30.8188,22.407339999999998,0.1917006621266918,-0.00191291736543525,99.99882243249385,0.7583884054726212,97.9102,101.993,4.082799999999992,0.0075839733611321875,-8.297136662970227e-05,100.04618185912328,0.5987353600469978,98.4797,101.576,3.0962999999999994,0.005984589805636833,-1.2041049630634646e-05,64.65512939072278,0.2982281825205466,64.2251,65.489,1.2639000000000067,0.004612598958982808,-0.00016456929129158966,73.41038915238327,21.92250390419547,10.9589,100.0,89.0411,0.2986294468306024,-0.0020718452230720622,43.31183999769265,2.3969414180993693,35.0748,55.5028,20.427999999999997,0.05534148210344011,0.0010659238027133937,52.22777846100593,1.467155495445318,46.5134,57.8819,11.368500000000004,0.028091478111417646,8.616937747662859e-06,70.21659548915548,1.8331387647706539,62.8011,78.0035,15.202400000000004,0.02610691606450459,0.0004281084144211132,0.4498073316797416,0.004553118166924808,0.418873,0.47004,0.05116700000000002,0.010122374283944718,-1.1905501427790349e-07,858.789388094141,2.8598780110798714,849.813,863.392,13.579000000000065,0.0033301273289212674,-0.0002115166751493089,859.8995137413524,0.44314970875456444,858.357,860.801,2.4440000000000737,0.0005153505748903803,-0.00013850018286791185,859.9213361790481,0.2618805277222933,859.328,860.56,1.231999999999971,0.0003045400976860585,6.843332501286586e-06,860.0106260096975,0.4165394638989689,858.719,861.822,3.102999999999952,0.0004843422293880727,-7.553502244280791e-05,280.9212241578223,8.779192021641206,268.737,295.304,26.56699999999995,0.03125143729513664,-0.001156196480737048,279.9445836602827,6.292730127685062,269.58,288.238,18.658000000000015,0.022478485010881268,-0.0010184762087446992,329.0372505779074,0.0939796459026341,328.726,329.269,0.5430000000000064,0.00028562008021150236,4.0220881307591275e-05,329.4926875288659,0.06837156040288021,329.307,329.648,0.3410000000000082,0.00020750554713567168,2.2921258620431033e-05,49.543784531610534,3.193793663227794,-8.915938463313282,-0.04735942662942705,-1.2212379155564577,-1.1101256472113619,0.9766404975395631,-0.4554369509584717,2022-01-14,2022-01-14,9020.0,3.0,9023.0,0.0003324836528870664
HZA09,37633,2022-01-15T13:56:00,2022-01-16T00:37:00,641.0,1.0220025510204083,73.31347734080869,2.437987957107008,57.6949,83.584,25.889100000000006,0.03325429437446618,-1.2564690683170815e-05,22.522322186157584,2.1909202308229676,9.4798,30.0414,20.5616,0.09727772352752889,-2.069485465988051e-05,99.99925810746193,0.31783252732542194,98.2288,101.661,3.4321999999999946,0.003178348853187195,8.025149067129591e-07,100.01954457642563,0.2119053915506375,98.4265,101.317,2.8904999999999887,0.0021186398363243807,-3.0253964467614515e-07,66.5608763711754,0.5825261411647894,64.7783,67.5939,2.8156000000000034,0.008751779918226196,3.113967202165892e-05,77.84816257706399,16.38974478527668,0.0577849,100.0,99.9422151,0.21053476720214212,-8.647254677422127e-05,46.51037638198729,1.8561383184184992,36.5785,53.5637,16.9852,0.03990804768325528,-1.2353217875022887e-05,51.16304307522666,1.4798117278144538,43.9771,58.2484,14.271299999999997,0.028923450187250184,-7.764479236602004e-06,70.52089009557282,1.7168458493826497,62.4428,80.2534,17.8106,0.024345209583371812,2.4493261850523843e-05,0.45002312790192356,0.0035672080791619536,0.416441,0.502486,0.08604499999999998,0.007926721668268077,-9.880208856597324e-09,859.6157595594087,1.82680725181841,851.189,870.222,19.033000000000015,0.0021251439745063887,-1.1210601331310466e-05,859.9968143650777,0.33675611428617036,859.001,861.0805,2.0795000000000528,0.0003915783275718203,4.396630025066446e-07,859.9957800334911,0.24253661739090973,858.997,860.662,1.6650000000000773,0.0002820207064056344,8.35762471017317e-08,859.9965085572152,0.2991294893676937,858.822,861.69,2.868000000000052,0.0003478263997484505,-3.015324238515542e-07,282.96792024075035,9.352404555848839,268.945,296.419,27.47399999999999,0.03305111246494575,-3.571759453857231e-06,279.85770752285543,6.475785281088637,269.11,290.573,21.462999999999965,0.02313956381051171,-1.7485735999878508e-05,332.14462150563924,0.09246209268796145,331.737,332.457,0.7199999999999704,0.0002783790153482633,-1.892449486790013e-06,332.52879398867947,0.09906073565319287,332.072,332.749,0.6770000000000209,0.0002979012267327601,-5.551498104609371e-06,50.79115515465111,7.327272481491164,-4.652666693239368,-0.020286468963703896,-0.38074899780644955,-0.3810548056690095,3.1102127178949104,-0.3841724830402313,2022-01-15,2022-01-15,90088.0,9.0,90097.0,9.989233825765563e-05
HZA10,18763,2022-01-17T12:20:00,2022-01-17T17:39:00,319.0,1.0201471058522547,73.50291334274925,2.6456662556252115,56.3234,83.4612,27.137800000000006,0.03599403255335314,-6.048641433775343e-05,21.218347243511214,2.2181569536819863,9.08299,30.2601,21.17711,0.10453957267384816,-2.7418322985072377e-05,100.00661524601581,0.3878281439774116,98.3456,101.45,3.1043999999999983,0.0038780248988865003,1.8274762113509589e-06,99.99268008155894,0.2813955983108188,98.6647,101.195,2.530299999999997,0.002814161977469738,-4.4380799944968034e-06,66.22099477162504,0.7549357555577149,64.5949,67.5821,2.9872000000000014,0.011400247884545467,2.7071725573876133e-05,77.30300476692545,18.34026231781261,0.0420591,100.0,99.9579409,0.23725160972862466,-0.0005134732551133656,45.96868553003234,2.228401391252348,37.4391,56.3227,18.883599999999994,0.0484765088572412,-0.00020889482541103073,49.838418784309575,1.536257909220705,42.7643,57.1904,14.426099999999998,0.030824772267942793,8.882031484278851e-05,70.14526077919338,2.0589403269689437,59.0838,82.2048,23.12100000000001,0.029352522238817742,4.660709911022868e-05,0.4500118712625924,0.002589947573565193,0.434564,0.463185,0.028621000000000008,0.00575528722453168,-2.6328283594933143e-09,859.548888797085,2.4719386954154805,851.964,871.419,19.454999999999927,0.002875855844424266,9.200789711692117e-06,860.0043956401196,0.32882397165783017,859.103,861.159,2.05600000000004,0.0003823515011374791,-3.3979260589489907e-06,859.9903709084003,0.22580880503078976,859.254,860.995,1.7409999999999854,0.0002625713178535591,-3.643711868930463e-07,860.0013804029243,0.4020397544740431,858.31,862.125,3.8150000000000546,0.0004674873362246013,-1.5165138995976145e-06,283.1204480093835,9.426161333820174,267.289,295.687,28.398000000000025,0.033293820351357174,-5.019095301743986e-05,279.1107769989325,6.065086611484514,269.46,288.711,19.251000000000033,0.021730033776186687,-9.849071319605855e-05,332.1828873847439,0.09931956247384875,331.893,332.493,0.6000000000000227,0.0002989906050121539,-2.382841050219291e-06,332.4072981343316,0.10740680392433581,332.117,332.64,0.5229999999999677,0.0003231180678858948,-9.466159840475712e-06,52.284566099238035,7.157743987732076,-3.869733254277236,0.01393516445686771,-0.45249160583921366,-0.45550684303452726,4.0096710104509725,-0.22441074958771878,2022-01-17,2022-01-17,44825.0,1.0,44826.0,2.230848168473654e-05
HZA11,38237,2022-01-20T13:53:00,2022-01-21T00:44:00,651.0,1.0215503713777592,74.11960292975422,2.6077855965190477,54.1359,82.8092,28.673300000000005,0.035183480394390926,-8.144064994354124e-05,23.207628438030902,2.254232678025169,7.50646,32.2592,24.75274,0.09713326305806859,-8.369109912270676e-05,100.0066358352699,0.33877315312861384,98.2454,101.912,3.6666000000000025,0.003387506741918988,6.775861391148884e-07,100.01057410753654,0.2522890161029518,98.5351,101.401,2.8658999999999963,0.002522623416116756,-1.4463342882359458e-06,66.04307087027661,0.6472224258463694,64.3341,67.441,3.106899999999996,0.009800005016690688,-1.2943398419114269e-05,77.7191530423079,17.282708171937394,0.158662,100.0,99.841338,0.2223738614666738,-0.00015118119829225836,47.385541489917586,2.154463941001173,37.4024,56.044,18.641599999999997,0.04546669454984675,-2.3961969951407875e-05,50.88948302429572,1.7430796195064995,41.512,58.0918,16.5798,0.03425225637828382,-5.78499929576814e-05,69.71614248045074,2.0072856650767954,62.0491,82.1979,20.1488,0.02879226522952934,-6.065845956481896e-05,0.4499200784580408,0.00317647591704849,0.422714,0.466862,0.04414800000000002,0.0070600892672646656,-2.4696841857249957e-09,859.6155036090602,1.9739518342178757,851.348,871.3565,20.008500000000026,0.00229631948927203,8.14952298067686e-06,860.0029084632297,0.38130678450565464,858.875,861.116,2.2409999999999854,0.0004433784825065598,9.084119727908477e-08,860.0138013346768,0.2588688304610675,859.174,860.939,1.7649999999999864,0.0003010054374235885,8.82493316615009e-07,860.0031571294219,0.33560890661313764,857.992,861.857,3.865000000000009,0.00039024148205845695,6.66473098596746e-07,282.88443565133224,9.418170207261602,268.689,296.198,27.508999999999958,0.033293348874343584,3.5320940851737624e-05,279.1441208677693,6.665575746985269,268.619,290.108,21.488999999999976,0.023878617705664507,1.1578197104331344e-05,332.1949029579465,0.09670576530478135,331.822,332.591,0.7690000000000055,0.00029111152652761685,3.9966145809745597e-07,332.4489957109558,0.06888541083034523,332.107,332.683,0.575999999999965,0.00020720595254929546,9.950892484613426e-08,50.91197449172332,8.003010561857153,-3.5039415343781357,-0.003938272266637455,-0.3876535203617095,-0.3874048541695174,3.740314783562951,-0.2540927530092745,2022-01-20,2022-01-20,89726.0,5.0,89731.0,5.572210272926859e-05
